full_feature	abs_z_score	variable	value	z_score	algorithm	z	seed	weight	abs	z_dim	gene
dae_88	7.40728	HALLMARK_ESTROGEN_RESPONSE_EARLY	3.25406	7.40728	dae	200	908341	-0.15494000000000002	0.15494000000000002	200	TP53
dae_88	3.56584	HALLMARK_MYC_TARGETS_V1	2.0996200000000003	3.56584	dae	200	908341	-0.15494000000000002	0.15494000000000002	200	TP53
dae_88	3.23463	HALLMARK_ESTROGEN_RESPONSE_LATE	2.8124700000000002	3.23463	dae	200	908341	-0.15494000000000002	0.15494000000000002	200	TP53
dae_88	2.32262	HALLMARK_MYOGENESIS	0.989928	2.32262	dae	200	908341	-0.15494000000000002	0.15494000000000002	200	TP53
dae_88	2.54944	HALLMARK_PANCREAS_BETA_CELLS	-0.6931189999999999	-2.54944	dae	200	908341	-0.15494000000000002	0.15494000000000002	200	TP53
dae_88	2.55905	HALLMARK_ANGIOGENESIS	-0.598202	-2.55905	dae	200	908341	-0.15494000000000002	0.15494000000000002	200	TP53
dae_88	3.08923	HALLMARK_HYPOXIA	-3.17387	-3.08923	dae	200	908341	-0.15494000000000002	0.15494000000000002	200	TP53
dae_88	3.28935	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-1.16727	-3.28935	dae	200	908341	-0.15494000000000002	0.15494000000000002	200	TP53
dae_88	4.75965	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-3.94599	-4.75965	dae	200	908341	-0.15494000000000002	0.15494000000000002	200	TP53
dae_88	6.57371	HALLMARK_XENOBIOTIC_METABOLISM	-3.4622599999999997	-6.57371	dae	200	908341	-0.15494000000000002	0.15494000000000002	200	TP53
dae_130	4.19995	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.536709	4.19995	dae	200	908341	-0.16391	0.16391	200	TP53
dae_130	3.18336	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.48673	3.18336	dae	200	908341	-0.16391	0.16391	200	TP53
dae_130	3.1297200000000003	HALLMARK_E2F_TARGETS	-0.658366	3.1297200000000003	dae	200	908341	-0.16391	0.16391	200	TP53
dae_130	3.24741	HALLMARK_PANCREAS_BETA_CELLS	-1.5333700000000001	-3.24741	dae	200	908341	-0.16391	0.16391	200	TP53
dae_130	3.30289	HALLMARK_ESTROGEN_RESPONSE_LATE	-6.903760000000001	-3.30289	dae	200	908341	-0.16391	0.16391	200	TP53
dae_130	4.14665	HALLMARK_KRAS_SIGNALING_UP	-6.1251	-4.14665	dae	200	908341	-0.16391	0.16391	200	TP53
dae_130	4.61725	HALLMARK_ESTROGEN_RESPONSE_EARLY	-5.98454	-4.61725	dae	200	908341	-0.16391	0.16391	200	TP53
dae_130	5.548030000000001	HALLMARK_APICAL_JUNCTION	-7.96515	-5.548030000000001	dae	200	908341	-0.16391	0.16391	200	TP53
dae_130	5.61845	HALLMARK_MYOGENESIS	-10.0249	-5.61845	dae	200	908341	-0.16391	0.16391	200	TP53
dae_130	9.04101	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-11.3443	-9.04101	dae	200	908341	-0.16391	0.16391	200	TP53
dae_24	4.53061	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.83016	4.53061	dae	200	908341	-0.18192	0.18192	200	TP53
dae_24	3.7930099999999998	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.48863	3.7930099999999998	dae	200	908341	-0.18192	0.18192	200	TP53
dae_24	3.4550099999999997	HALLMARK_INFLAMMATORY_RESPONSE	2.16677	3.4550099999999997	dae	200	908341	-0.18192	0.18192	200	TP53
dae_24	3.14545	HALLMARK_ANGIOGENESIS	0.827268	3.14545	dae	200	908341	-0.18192	0.18192	200	TP53
dae_24	2.90479	HALLMARK_APOPTOSIS	1.8792400000000002	2.90479	dae	200	908341	-0.18192	0.18192	200	TP53
dae_24	2.79638	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.33259	2.79638	dae	200	908341	-0.18192	0.18192	200	TP53
dae_24	3.00637	HALLMARK_BILE_ACID_METABOLISM	-0.597128	-3.00637	dae	200	908341	-0.18192	0.18192	200	TP53
dae_24	3.25582	HALLMARK_PEROXISOME	-1.02001	-3.25582	dae	200	908341	-0.18192	0.18192	200	TP53
dae_24	4.9835	HALLMARK_FATTY_ACID_METABOLISM	-2.45575	-4.9835	dae	200	908341	-0.18192	0.18192	200	TP53
dae_24	6.65545	HALLMARK_KRAS_SIGNALING_DN	-2.61153	-6.65545	dae	200	908341	-0.18192	0.18192	200	TP53
dae_46	4.03099	HALLMARK_INTERFERON_ALPHA_RESPONSE	2.27472	4.03099	dae	200	908341	-0.22864	0.22864	200	TP53
dae_46	3.45445	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.8409299999999997	3.45445	dae	200	908341	-0.22864	0.22864	200	TP53
dae_46	3.35291	HALLMARK_APOPTOSIS	1.01411	3.35291	dae	200	908341	-0.22864	0.22864	200	TP53
dae_46	3.06141	HALLMARK_COAGULATION	1.76882	3.06141	dae	200	908341	-0.22864	0.22864	200	TP53
dae_46	2.80768	HALLMARK_KRAS_SIGNALING_DN	-1.38591	-2.80768	dae	200	908341	-0.22864	0.22864	200	TP53
dae_46	2.97815	HALLMARK_MYC_TARGETS_V1	-1.47076	-2.97815	dae	200	908341	-0.22864	0.22864	200	TP53
dae_46	3.03802	HALLMARK_HYPOXIA	-1.79663	-3.03802	dae	200	908341	-0.22864	0.22864	200	TP53
dae_46	3.208	HALLMARK_UV_RESPONSE_DN	-1.2804200000000001	-3.208	dae	200	908341	-0.22864	0.22864	200	TP53
dae_46	3.4070699999999996	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-1.8598299999999999	-3.4070699999999996	dae	200	908341	-0.22864	0.22864	200	TP53
dae_46	7.15103	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-3.15448	-7.15103	dae	200	908341	-0.22864	0.22864	200	TP53
