big_feature_id	abs_z_score	individual_feature	k	signal	weight	abs	gene	variable	value	z_score
vae_28_978124_70_signal	7.924739999999999	28	70	signal	-0.046943	0.046943	TP53	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0433726	7.924739999999999
vae_28_978124_70_signal	7.34104	28	70	signal	-0.046943	0.046943	TP53	HALLMARK_ESTROGEN_RESPONSE_LATE	-0.899853	7.34104
vae_28_978124_70_signal	5.5124	28	70	signal	-0.046943	0.046943	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-5.390280000000001	-5.5124
vae_28_978124_70_signal	4.46215	28	70	signal	-0.046943	0.046943	TP53	HALLMARK_XENOBIOTIC_METABOLISM	-4.65768	-4.46215
vae_28_978124_70_signal	3.74608	28	70	signal	-0.046943	0.046943	TP53	HALLMARK_COAGULATION	-3.38029	-3.74608
vae_23_978124_40_signal	10.4793	23	40	signal	0.046758999999999995	0.046758999999999995	TP53	HALLMARK_COAGULATION	-4.61115	-10.4793
vae_23_978124_40_signal	8.8535	23	40	signal	0.046758999999999995	0.046758999999999995	TP53	HALLMARK_XENOBIOTIC_METABOLISM	-6.88295	-8.8535
vae_23_978124_40_signal	7.77199	23	40	signal	0.046758999999999995	0.046758999999999995	TP53	HALLMARK_KRAS_SIGNALING_DN	-1.04532	7.77199
vae_23_978124_40_signal	7.523060000000001	23	40	signal	0.046758999999999995	0.046758999999999995	TP53	HALLMARK_MYC_TARGETS_V1	-0.540683	7.523060000000001
vae_23_978124_40_signal	6.3527	23	40	signal	0.046758999999999995	0.046758999999999995	TP53	HALLMARK_COMPLEMENT	-5.4942400000000005	-6.3527
vae_15_451283_200_signal	15.9584	15	200	signal	0.045603	0.045603	TP53	HALLMARK_G2M_CHECKPOINT	0.31613800000000003	15.9584
vae_15_451283_200_signal	14.4174	15	200	signal	0.045603	0.045603	TP53	HALLMARK_ESTROGEN_RESPONSE_EARLY	-3.8952400000000003	-14.4174
vae_15_451283_200_signal	8.81815	15	200	signal	0.045603	0.045603	TP53	HALLMARK_E2F_TARGETS	0.564684	8.81815
vae_15_451283_200_signal	7.7795	15	200	signal	0.045603	0.045603	TP53	HALLMARK_XENOBIOTIC_METABOLISM	-3.27955	-7.7795
vae_15_451283_200_signal	7.112189999999999	15	200	signal	0.045603	0.045603	TP53	HALLMARK_INFLAMMATORY_RESPONSE	-0.533096	7.112189999999999
nmf_116_486191_150_signal	22.2927	116	150	signal	0.04373	0.04373	TP53	HALLMARK_G2M_CHECKPOINT	52.3914	22.2927
nmf_116_486191_150_signal	19.8742	116	150	signal	0.04373	0.04373	TP53	HALLMARK_E2F_TARGETS	46.6239	19.8742
nmf_116_486191_150_signal	17.1398	116	150	signal	0.04373	0.04373	TP53	HALLMARK_MYC_TARGETS_V1	39.3242	17.1398
nmf_116_486191_150_signal	10.5475	116	150	signal	0.04373	0.04373	TP53	HALLMARK_MITOTIC_SPINDLE	31.2112	10.5475
nmf_116_486191_150_signal	7.5947	116	150	signal	0.04373	0.04373	TP53	HALLMARK_MYC_TARGETS_V2	8.55606	7.5947
nmf_97_978124_150_signal	16.657	97	150	signal	-0.042726	0.042726	TP53	HALLMARK_E2F_TARGETS	37.5479	16.657
nmf_97_978124_150_signal	14.3117	97	150	signal	-0.042726	0.042726	TP53	HALLMARK_G2M_CHECKPOINT	29.497	14.3117
nmf_97_978124_150_signal	10.0833	97	150	signal	-0.042726	0.042726	TP53	HALLMARK_MYC_TARGETS_V1	21.8735	10.0833
nmf_97_978124_150_signal	7.85756	97	150	signal	-0.042726	0.042726	TP53	HALLMARK_MITOTIC_SPINDLE	13.3642	7.85756
nmf_97_978124_150_signal	6.806	97	150	signal	-0.042726	0.042726	TP53	HALLMARK_DNA_REPAIR	12.2031	6.806
ica_191_978124_200_signal	4.905869999999999	191	200	signal	0.042199	0.042199	TP53	HALLMARK_MYC_TARGETS_V1	-0.042988099999999994	-4.905869999999999
ica_191_978124_200_signal	3.59285	191	200	signal	0.042199	0.042199	TP53	HALLMARK_ESTROGEN_RESPONSE_LATE	0.0186531	3.59285
ica_191_978124_200_signal	2.70277	191	200	signal	0.042199	0.042199	TP53	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0241721	2.70277
ica_191_978124_200_signal	2.48158	191	200	signal	0.042199	0.042199	TP53	HALLMARK_MYC_TARGETS_V2	-0.011012799999999998	-2.48158
ica_191_978124_200_signal	2.43432	191	200	signal	0.042199	0.042199	TP53	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.029990499999999996	2.43432
vae_29_451283_125_signal	8.1724	29	125	signal	-0.041326999999999996	0.041326999999999996	TP53	HALLMARK_ANDROGEN_RESPONSE	-0.745097	8.1724
vae_29_451283_125_signal	7.78021	29	125	signal	-0.041326999999999996	0.041326999999999996	TP53	HALLMARK_SPERMATOGENESIS	-0.80872	7.78021
vae_29_451283_125_signal	7.55006	29	125	signal	-0.041326999999999996	0.041326999999999996	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-5.8942	-7.55006
vae_29_451283_125_signal	6.42819	29	125	signal	-0.041326999999999996	0.041326999999999996	TP53	HALLMARK_XENOBIOTIC_METABOLISM	-5.441730000000001	-6.42819
vae_29_451283_125_signal	4.72082	29	125	signal	-0.041326999999999996	0.041326999999999996	TP53	HALLMARK_COAGULATION	-3.48903	-4.72082
pca_99_165158_100_signal	4.19076	99	100	signal	0.041294	0.041294	TP53	HALLMARK_MYC_TARGETS_V1	-0.622183	-4.19076
pca_99_165158_100_signal	3.8493699999999995	99	100	signal	0.041294	0.041294	TP53	HALLMARK_TGF_BETA_SIGNALING	0.22778299999999999	3.8493699999999995
pca_99_165158_100_signal	3.27521	99	100	signal	0.041294	0.041294	TP53	HALLMARK_MITOTIC_SPINDLE	0.38672199999999995	3.27521
pca_99_165158_100_signal	3.14134	99	100	signal	0.041294	0.041294	TP53	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.380673	3.14134
pca_99_165158_100_signal	2.87584	99	100	signal	0.041294	0.041294	TP53	HALLMARK_G2M_CHECKPOINT	0.267669	2.87584
vae_14_451283_100_signal	8.11492	14	100	signal	-0.04063	0.04063	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-5.83864	-8.11492
vae_14_451283_100_signal	7.996919999999999	14	100	signal	-0.04063	0.04063	TP53	HALLMARK_APICAL_JUNCTION	-5.26729	-7.996919999999999
vae_14_451283_100_signal	5.2769699999999995	14	100	signal	-0.04063	0.04063	TP53	HALLMARK_PROTEIN_SECRETION	-0.639433	5.2769699999999995
vae_14_451283_100_signal	4.99639	14	100	signal	-0.04063	0.04063	TP53	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.846802	4.99639
vae_14_451283_100_signal	4.04732	14	100	signal	-0.04063	0.04063	TP53	HALLMARK_APICAL_SURFACE	-1.26197	-4.04732
vae_42_451283_200_signal	8.35868	42	200	signal	0.040301	0.040301	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-5.2260800000000005	-8.35868
vae_42_451283_200_signal	6.766380000000001	42	200	signal	0.040301	0.040301	TP53	HALLMARK_COAGULATION	-3.00501	-6.766380000000001
vae_42_451283_200_signal	6.08951	42	200	signal	0.040301	0.040301	TP53	HALLMARK_ESTROGEN_RESPONSE_LATE	-4.33806	-6.08951
vae_42_451283_200_signal	5.2185	42	200	signal	0.040301	0.040301	TP53	HALLMARK_MTORC1_SIGNALING	-1.52421	5.2185
vae_42_451283_200_signal	4.61038	42	200	signal	0.040301	0.040301	TP53	HALLMARK_HEME_METABOLISM	-1.17278	4.61038
vae_3_165158_100_signal	9.34244	3	100	signal	0.039444	0.039444	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-5.2133400000000005	-9.34244
vae_3_165158_100_signal	7.470269999999999	3	100	signal	0.039444	0.039444	TP53	HALLMARK_KRAS_SIGNALING_UP	-4.19273	-7.470269999999999
vae_3_165158_100_signal	7.29188	3	100	signal	0.039444	0.039444	TP53	HALLMARK_SPERMATOGENESIS	-0.590252	7.29188
vae_3_165158_100_signal	6.90895	3	100	signal	0.039444	0.039444	TP53	HALLMARK_E2F_TARGETS	-1.01683	6.90895
vae_3_165158_100_signal	5.6847900000000005	3	100	signal	0.039444	0.039444	TP53	HALLMARK_DNA_REPAIR	-1.03804	5.6847900000000005
ica_157_486191_200_signal	7.0516	157	200	signal	0.03935	0.03935	TP53	HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.030595999999999998	-7.0516
ica_157_486191_200_signal	4.13848	157	200	signal	0.03935	0.03935	TP53	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.012847299999999999	4.13848
ica_157_486191_200_signal	4.05933	157	200	signal	0.03935	0.03935	TP53	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0306291	4.05933
ica_157_486191_200_signal	3.3616699999999997	157	200	signal	0.03935	0.03935	TP53	HALLMARK_PANCREAS_BETA_CELLS	-0.00691964	-3.3616699999999997
ica_157_486191_200_signal	2.8026400000000002	157	200	signal	0.03935	0.03935	TP53	HALLMARK_GLYCOLYSIS	-0.0228969	-2.8026400000000002
ica_135_486191_150_signal	6.514530000000001	135	150	signal	0.038619	0.038619	TP53	HALLMARK_E2F_TARGETS	-0.0386473	-6.514530000000001
ica_135_486191_150_signal	6.26386	135	150	signal	0.038619	0.038619	TP53	HALLMARK_DNA_REPAIR	-0.021717900000000002	-6.26386
ica_135_486191_150_signal	4.57726	135	150	signal	0.038619	0.038619	TP53	HALLMARK_TGF_BETA_SIGNALING	-0.010202899999999999	-4.57726
ica_135_486191_150_signal	4.10685	135	150	signal	0.038619	0.038619	TP53	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.017975599999999998	4.10685
ica_135_486191_150_signal	3.60846	135	150	signal	0.038619	0.038619	TP53	HALLMARK_P53_PATHWAY	-0.0263825	-3.60846
dae_28_165158_80_signal	7.81583	28	80	signal	0.038549	0.038549	TP53	HALLMARK_FATTY_ACID_METABOLISM	-2.71179	-7.81583
dae_28_165158_80_signal	6.599260000000001	28	80	signal	0.038549	0.038549	TP53	HALLMARK_G2M_CHECKPOINT	3.5560199999999997	6.599260000000001
dae_28_165158_80_signal	5.28852	28	80	signal	0.038549	0.038549	TP53	HALLMARK_ESTROGEN_RESPONSE_LATE	-2.7667900000000003	-5.28852
dae_28_165158_80_signal	5.173769999999999	28	80	signal	0.038549	0.038549	TP53	HALLMARK_INTERFERON_GAMMA_RESPONSE	3.55694	5.173769999999999
dae_28_165158_80_signal	4.79845	28	80	signal	0.038549	0.038549	TP53	HALLMARK_INTERFERON_ALPHA_RESPONSE	3.1855599999999997	4.79845
pca_193_451283_200_signal	4.710319999999999	193	200	signal	0.038062	0.038062	TP53	HALLMARK_P53_PATHWAY	-0.499121	-4.710319999999999
pca_193_451283_200_signal	2.74187	193	200	signal	0.038062	0.038062	TP53	HALLMARK_MITOTIC_SPINDLE	0.06744739999999999	2.74187
pca_193_451283_200_signal	2.49473	193	200	signal	0.038062	0.038062	TP53	HALLMARK_UV_RESPONSE_UP	0.14959	2.49473
pca_193_451283_200_signal	2.45072	193	200	signal	0.038062	0.038062	TP53	HALLMARK_ANDROGEN_RESPONSE	-0.251546	-2.45072
pca_193_451283_200_signal	2.44788	193	200	signal	0.038062	0.038062	TP53	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.284353	-2.44788
vae_45_486191_90_signal	7.91827	45	90	signal	0.038017	0.038017	TP53	HALLMARK_XENOBIOTIC_METABOLISM	-0.9705360000000001	7.91827
vae_45_486191_90_signal	6.47789	45	90	signal	0.038017	0.038017	TP53	HALLMARK_HYPOXIA	-4.59163	-6.47789
vae_45_486191_90_signal	6.05856	45	90	signal	0.038017	0.038017	TP53	HALLMARK_INTERFERON_GAMMA_RESPONSE	-1.5272299999999999	6.05856
vae_45_486191_90_signal	6.03984	45	90	signal	0.038017	0.038017	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-5.40322	-6.03984
vae_45_486191_90_signal	5.64608	45	90	signal	0.038017	0.038017	TP53	HALLMARK_ESTROGEN_RESPONSE_EARLY	-4.83491	-5.64608
vae_113_451283_200_signal	7.14162	113	200	signal	0.037562	0.037562	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-2.74694	-7.14162
vae_113_451283_200_signal	6.11434	113	200	signal	0.037562	0.037562	TP53	HALLMARK_MYOGENESIS	-2.33317	-6.11434
vae_113_451283_200_signal	5.7457199999999995	113	200	signal	0.037562	0.037562	TP53	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-2.13477	-5.7457199999999995
vae_113_451283_200_signal	5.624140000000001	113	200	signal	0.037562	0.037562	TP53	HALLMARK_MTORC1_SIGNALING	-0.104117	5.624140000000001
vae_113_451283_200_signal	5.38667	113	200	signal	0.037562	0.037562	TP53	HALLMARK_E2F_TARGETS	-0.261384	5.38667
ica_34_908341_100_signal	3.6855300000000004	34	100	signal	-0.036323	0.036323	TP53	HALLMARK_MTORC1_SIGNALING	-0.00508717	-3.6855300000000004
ica_34_908341_100_signal	2.883	34	100	signal	-0.036323	0.036323	TP53	HALLMARK_MYC_TARGETS_V1	-0.0142166	-2.883
ica_34_908341_100_signal	2.88125	34	100	signal	-0.036323	0.036323	TP53	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0100489	2.88125
ica_34_908341_100_signal	2.81002	34	100	signal	-0.036323	0.036323	TP53	HALLMARK_GLYCOLYSIS	-0.00680686	-2.81002
ica_34_908341_100_signal	2.5510200000000003	34	100	signal	-0.036323	0.036323	TP53	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.00975066	-2.5510200000000003
nmf_98_978124_125_signal	15.7567	98	125	signal	0.035429	0.035429	TP53	HALLMARK_MITOTIC_SPINDLE	10.1601	15.7567
nmf_98_978124_125_signal	7.142589999999999	98	125	signal	0.035429	0.035429	TP53	HALLMARK_SPERMATOGENESIS	1.07066	-7.142589999999999
nmf_98_978124_125_signal	7.11235	98	125	signal	0.035429	0.035429	TP53	HALLMARK_HEDGEHOG_SIGNALING	2.2739700000000003	7.11235
nmf_98_978124_125_signal	6.736510000000001	98	125	signal	0.035429	0.035429	TP53	HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.76521	6.736510000000001
nmf_98_978124_125_signal	4.44342	98	125	signal	0.035429	0.035429	TP53	HALLMARK_TGF_BETA_SIGNALING	2.37315	4.44342
nmf_98_908341_100_signal	16.5211	98	100	signal	0.034932	0.034932	TP53	HALLMARK_MITOTIC_SPINDLE	7.787539999999999	16.5211
nmf_98_908341_100_signal	8.46903	98	100	signal	0.034932	0.034932	TP53	HALLMARK_SPERMATOGENESIS	0.803499	-8.46903
nmf_98_908341_100_signal	8.17887	98	100	signal	0.034932	0.034932	TP53	HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.4081700000000001	8.17887
nmf_98_908341_100_signal	7.39657	98	100	signal	0.034932	0.034932	TP53	HALLMARK_HEDGEHOG_SIGNALING	1.74948	7.39657
nmf_98_908341_100_signal	4.43246	98	100	signal	0.034932	0.034932	TP53	HALLMARK_TGF_BETA_SIGNALING	1.7740099999999999	4.43246
dae_140_451283_200_signal	7.0288699999999995	140	200	signal	0.034641000000000005	0.034641000000000005	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	3.2743	7.0288699999999995
dae_140_451283_200_signal	3.81025	140	200	signal	0.034641000000000005	0.034641000000000005	TP53	HALLMARK_INFLAMMATORY_RESPONSE	-1.11808	-3.81025
dae_140_451283_200_signal	3.6568699999999996	140	200	signal	0.034641000000000005	0.034641000000000005	TP53	HALLMARK_INTERFERON_GAMMA_RESPONSE	-2.5525599999999997	-3.6568699999999996
dae_140_451283_200_signal	3.16636	140	200	signal	0.034641000000000005	0.034641000000000005	TP53	HALLMARK_INTERFERON_ALPHA_RESPONSE	-1.6339700000000001	-3.16636
dae_140_451283_200_signal	3.1057200000000003	140	200	signal	0.034641000000000005	0.034641000000000005	TP53	HALLMARK_KRAS_SIGNALING_DN	-1.22276	-3.1057200000000003
vae_14_451283_25_signal	8.22495	14	25	signal	-0.033817	0.033817	TP53	HALLMARK_COAGULATION	-4.56677	-8.22495
vae_14_451283_25_signal	8.09545	14	25	signal	-0.033817	0.033817	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-6.803669999999999	-8.09545
vae_14_451283_25_signal	7.09795	14	25	signal	-0.033817	0.033817	TP53	HALLMARK_HYPOXIA	-4.93088	-7.09795
vae_14_451283_25_signal	6.764469999999999	14	25	signal	-0.033817	0.033817	TP53	HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.0636649	6.764469999999999
vae_14_451283_25_signal	5.98155	14	25	signal	-0.033817	0.033817	TP53	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-4.65454	-5.98155
vae_51_451283_150_signal	9.216439999999999	51	150	signal	-0.033602999999999994	0.033602999999999994	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-4.90444	-9.216439999999999
vae_51_451283_150_signal	8.240910000000001	51	150	signal	-0.033602999999999994	0.033602999999999994	TP53	HALLMARK_XENOBIOTIC_METABOLISM	-0.340328	8.240910000000001
vae_51_451283_150_signal	5.58649	51	150	signal	-0.033602999999999994	0.033602999999999994	TP53	HALLMARK_FATTY_ACID_METABOLISM	-0.846627	5.58649
vae_51_451283_150_signal	5.4056	51	150	signal	-0.033602999999999994	0.033602999999999994	TP53	HALLMARK_SPERMATOGENESIS	-0.740522	5.4056
vae_51_451283_150_signal	5.00575	51	150	signal	-0.033602999999999994	0.033602999999999994	TP53	HALLMARK_APICAL_JUNCTION	-3.96432	-5.00575
vae_50_978124_125_signal	5.03057	50	125	signal	0.033589999999999995	0.033589999999999995	TP53	HALLMARK_ADIPOGENESIS	-1.94575	5.03057
vae_50_978124_125_signal	4.9821800000000005	50	125	signal	0.033589999999999995	0.033589999999999995	TP53	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-3.8719900000000003	-4.9821800000000005
vae_50_978124_125_signal	4.815580000000001	50	125	signal	0.033589999999999995	0.033589999999999995	TP53	HALLMARK_ESTROGEN_RESPONSE_LATE	-4.81401	-4.815580000000001
