metaedge	unicode_metaedge	standard_metaedge	abbreviation	standard_abbreviation	source	target	inverted
Gene - participates - Curated-Gene-Sets-REACTOME	Gene–participates–Curated-Gene-Sets-REACTOME	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2-CP-REACTOME	GpC2-CP-REACTOME	Gene	Curated-Gene-Sets-REACTOME	0
Gene - participates - GO-Gene-Sets-BP	Gene–participates–GO-Gene-Sets-BP	Gene - participates - GO-Gene-Sets-BP	GpC5-BP	GpC5-BP	Gene	GO-Gene-Sets-BP	0
Gene - participates - GO-Gene-Sets-CC	Gene–participates–GO-Gene-Sets-CC	Gene - participates - GO-Gene-Sets-CC	GpC5-CC	GpC5-CC	Gene	GO-Gene-Sets-CC	0
Gene - participates - GO-Gene-Sets-MF	Gene–participates–GO-Gene-Sets-MF	Gene - participates - GO-Gene-Sets-MF	GpC5-MF	GpC5-MF	Gene	GO-Gene-Sets-MF	0
Gene - participates - Immunologic-Gene-Sets	Gene–participates–Immunologic-Gene-Sets	Gene - participates - Immunologic-Gene-Sets	GpC7	GpC7	Gene	Immunologic-Gene-Sets	0
Gene - participates - Motif-Gene-Sets-MIR	Gene–participates–Motif-Gene-Sets-MIR	Gene - participates - Motif-Gene-Sets-MIR	GpC3-MIR	GpC3-MIR	Gene	Motif-Gene-Sets-MIR	0
Gene - participates - Motif-Gene-Sets-TFT	Gene–participates–Motif-Gene-Sets-TFT	Gene - participates - Motif-Gene-Sets-TFT	GpC3-TFT	GpC3-TFT	Gene	Motif-Gene-Sets-TFT	0
Gene - participates - Oncogenic-Gene-Sets	Gene–participates–Oncogenic-Gene-Sets	Gene - participates - Oncogenic-Gene-Sets	GpC6	GpC6	Gene	Oncogenic-Gene-Sets	0
Gene - participates - Positional-Gene-Sets	Gene–participates–Positional-Gene-Sets	Gene - participates - Positional-Gene-Sets	GpC1	GpC1	Gene	Positional-Gene-Sets	0
Gene - participates - xCell-Cell-Type	Gene–participates–xCell-Cell-Type	Gene - participates - xCell-Cell-Type	GpXCELL	GpXCELL	Gene	xCell-Cell-Type	0
Immunologic-Gene-Sets - participates - Gene	Immunologic-Gene-Sets–participates–Gene	Gene - participates - Immunologic-Gene-Sets	C7pG	GpC7	Immunologic-Gene-Sets	Gene	1
Motif-Gene-Sets-MIR - participates - Gene	Motif-Gene-Sets-MIR–participates–Gene	Gene - participates - Motif-Gene-Sets-MIR	C3-MIRpG	GpC3-MIR	Motif-Gene-Sets-MIR	Gene	1
Motif-Gene-Sets-TFT - participates - Gene	Motif-Gene-Sets-TFT–participates–Gene	Gene - participates - Motif-Gene-Sets-TFT	C3-TFTpG	GpC3-TFT	Motif-Gene-Sets-TFT	Gene	1
Oncogenic-Gene-Sets - participates - Gene	Oncogenic-Gene-Sets–participates–Gene	Gene - participates - Oncogenic-Gene-Sets	C6pG	GpC6	Oncogenic-Gene-Sets	Gene	1
Positional-Gene-Sets - participates - Gene	Positional-Gene-Sets–participates–Gene	Gene - participates - Positional-Gene-Sets	C1pG	GpC1	Positional-Gene-Sets	Gene	1
xCell-Cell-Type - participates - Gene	xCell-Cell-Type–participates–Gene	Gene - participates - xCell-Cell-Type	XCELLpG	GpXCELL	xCell-Cell-Type	Gene	1
